Nome,Estrelas,Texto,Data
Wahyu Dwi Prasetyo,undefined undefined undefined undefined undefined,"Pilihannya banyak dan harga terjangkau, CSnya gerak cepat",31 Desember 2019 31 Desember 2019
Nurul Istiqomah,undefined undefined undefined undefined undefined,Bagus,31 Desember 2019 31 Desember 2019
cholil sabdi,undefined undefined undefined undefined undefined,Sudah bagus,31 Desember 2019 31 Desember 2019
Yani Yanuari,undefined undefined undefined undefined undefined,Smua room ok,31 Desember 2019 31 Desember 2019
Wawan Ardi,undefined undefined undefined undefined undefined,Harga yang lebih murah di banding dg yg lain nya Airy sipp,31 Desember 2019 31 Desember 2019
Reny Widodo,undefined undefined undefined undefined undefined,Ok,31 Desember 2019 31 Desember 2019
syafra_ yyk,undefined undefined undefined undefined undefined,"Puas banget pake Airy, proses konfirmasi nya cepat..stlh proses pembayarn sls...langsung kta dapat konfrmasi voucher , gak sampai 30 mnt",31 Desember 2019 31 Desember 2019
Maman Aja,undefined undefined undefined undefined undefined,"Saya suka Airy semua mudah dan pelayanan nya ramah,namun sewaktu saya menginap di dago golf raya bandung ada fasilitas yg kurang memuaskan..ya itu tidak ada air hangat untuk mandi dan air wastapel tidak berpungsi normal kadang keluar air kadang tidak,serta televisi nya hanya bergambar semut..tolong ...Ulasan LengkapSaya suka Airy semua mudah dan pelayanan nya ramah,namun sewaktu saya menginap di dago golf raya bandung ada fasilitas yg kurang memuaskan..ya itu tidak ada air hangat untuk mandi dan air wastapel tidak berpungsi normal kadang keluar air kadang tidak,serta televisi nya hanya bergambar semut..tolong di perbaiki..",31 Desember 2019 31 Desember 2019
Lutfi Driver,undefined undefined undefined undefined,Cukup memuaskan,31 Desember 2019 31 Desember 2019
Apip Andrian,undefined undefined undefined undefined undefined,Bagus,31 Desember 2019 31 Desember 2019
Robby Ansyah,undefined,Aplikasi baru lebih lemot,30 Desember 2019 30 Desember 2019
hhngh. iEko Eko Purwanto,undefined undefined undefined undefined,Oke,30 Desember 2019 30 Desember 2019
Reru Dharma,undefined undefined undefined undefined undefined,"Bagus banget, harga bersahabat banget.",30 Desember 2019 30 Desember 2019
Fitri Sundari,undefined undefined undefined undefined undefined,"Pemesanan mudah, harga kamar relatif murah dibandingkan aplikasi sewa penginapan lainnya",30 Desember 2019 30 Desember 2019
Jumadi,undefined undefined undefined undefined,Ok,30 Desember 2019 30 Desember 2019
diya chamdiya,undefined undefined undefined undefined undefined,Oke mencari penginapan lebih mudah,30 Desember 2019 30 Desember 2019
Yorat Mangnga,undefined undefined undefined undefined undefined,Mantap..bisa di rekomendasikan bagi kawan2 yg suka traveling,30 Desember 2019 30 Desember 2019
Deddy Riyasto,undefined undefined undefined undefined,Hotel murah,30 Desember 2019 30 Desember 2019
Ismiati Halid,undefined undefined undefined undefined undefined,Mantap,30 Desember 2019 30 Desember 2019
Rizki maolana,undefined undefined undefined undefined undefined,Pilihan tepat untuk mencari hotel ketika liburan atau ada acara lain nya.terima kasih,30 Desember 2019 30 Desember 2019
nadien dun,undefined undefined undefined undefined undefined,Standart kebersihan dan fasilitas nya mencukupi. Belum pernah mengecewakan saya.,30 Desember 2019 30 Desember 2019
Yoedi S,undefined undefined undefined undefined undefined,Airy memang top,30 Desember 2019 30 Desember 2019
steva photography,undefined undefined undefined undefined undefined,Good,30 Desember 2019 30 Desember 2019
Chunaefi Chunaefi,undefined undefined undefined undefined undefined,Bagus,30 Desember 2019 30 Desember 2019
alisa alika,undefined undefined undefined undefined undefined,Puas 0ake airy👍,30 Desember 2019 30 Desember 2019
Muhamad Yusuf,undefined undefined undefined undefined undefined,Sangat membantu sekali kalo mau Pesan Kamar HoteL Dan Penginapan Terimakasih Airy,30 Desember 2019 30 Desember 2019
Setiyo Budi,undefined undefined undefined undefined undefined,gak ribet,30 Desember 2019 30 Desember 2019
Hajir86 Muhajir86,undefined undefined undefined undefined undefined,Tiket paling murah Ok banget bro,30 Desember 2019 30 Desember 2019
